user_id,product_id,rating,time_stamp
A3554P57JKXVJN,B0085S0838,1.0,1397952000
A2CS4FEMSETJT1,B00IBCQJZO,5.0,1400198400
A2CIJE4EUZF2WW,B00C59X93O,5.0,1405209600
A15ZX3XV2L7QDH,B001V9LPT4,4.0,1359936000
AZGORQNAAGIMW,B00005NIMJ,3.0,1281657600
A1CU4FSMSTHP72,B005VEZ550,5.0,1342915200
A2E44U8NS8SW1N,B006W5MQCM,1.0,1402444800
A2C1P9CSZFPAT3,B003S6CO9I,1.0,1391212800
A1EQG7569YZD00,B006U1YUZE,5.0,1344816000
AIY2FF91SXJE1,B00G2KCFNW,4.0,1383868800
A1915JUDPRT8I2,B000065BP9,5.0,1196899200
AQIX4NJD7ZP7M,B000FBK3QK,5.0,1378512000
A1CTCMWX7X7P0K,B005J37I4Y,5.0,1345420800
A4RYG0YTMVHHI,B005O88CY4,5.0,1379721600
A1A3PKMIY9IY0O,B006MXT0B4,5.0,1332806400
A3G64T35YSS3R3,B006P88UQW,3.0,1399593600
A1N4FI3HJBE4DH,B00411CHIM,5.0,1403049600
A2VDIO2FVTWX65,B0018MCGVU,1.0,1384560000
AYUOQMQV3RUZ5,B00006345I,3.0,1144800000
APAW4G6MAOWKP,B0011UB9CQ,5.0,1356307200
A1KEFGACLCJX71,B003ELYQGG,5.0,1355443200
A23S6JATDT2KML,B005J7YD98,5.0,1319500800
A3E7KD9ZPP0ERF,B004QBUL1C,5.0,1322179200
A26WGDSPFXNNNO,B002WE6D44,5.0,1361404800
A9DYWY9VOSP1P,B009XUBVMY,2.0,1375574400
A21YAMH87PI1R,B004JXVODQ,5.0,1317686400
A1P3IKF4S3LSBL,B0052PNK6O,1.0,1384300800
A2GJCN6V33HA4K,B0025ZCPYM,2.0,1256083200
A3KI35DA467M77,B0054JGGC8,5.0,1324080000
A4N52S2HDHF4Y,B000EUJD3Q,4.0,1185062400
A34GG58TJ1A3SH,B00BCGRLSU,4.0,1402531200
AQFVJPVA0BBMO,B002WP2QGM,5.0,1381449600
AOP4VQ53VT1IO,B00DR28LF4,5.0,1382486400
A1OC70Y6BR59E4,B000RFZ2EW,4.0,1198627200
A3721I2VKLZWZP,B0036TH6XG,3.0,1286150400
A34F8KNCY3T7LS,B0034KO59U,2.0,1315180800
A2D6GTJCOZIK6F,B00B1Z5F4O,4.0,1367366400
A36TJGWT8N9G8V,B008POHL1Y,5.0,1400025600
A3OIFUPFM05OB6,B004YDUZ22,5.0,1356998400
AFCCQNVV94JB4,B00KBZLOHC,4.0,1405900800
A99QCL2O3FR3I,B002L16KS2,5.0,1261958400
A3DS6RZA41AQON,B004BJLXAM,1.0,1308787200
AZZVYHVJ8BDUZ,B00392CI7E,5.0,1353974400
AGHZXQL9F94T9,B00006JP3Q,1.0,1039046400
A12UZGLT0A69G,B00GUF9N2A,5.0,1398902400
A2S99VWPNHP8ZC,B001UQ6E4Y,5.0,1285113600
A2W0GIOMBZVM20,B007G92ESE,4.0,1352160000
A3SLK7WCZOYF7M,B001S2R912,5.0,1300320000
AQJF9AZCPG63F,B000NF6ZK6,3.0,1203465600
A13L3TB0BSG74X,B004B80I0O,5.0,1364342400
A3FFUSC3C9EZKF,B00F3F0EIU,5.0,1404950400
AD1U3MLX5AWYT,B005U2VEIK,2.0,1357171200
A2BQUXH1GJYWF4,B005T77SYU,5.0,1322524800
AMS1TTJ10TG83,B005PUBDSS,2.0,1383955200
A2JNF03NNESIV7,B003O1UYHG,5.0,1401235200
A3VKEOK771SXHE,B0089WLYQ0,1.0,1366675200
A24FNJGU8UOGXC,B00AJ16SOM,3.0,1364515200
A91Y6ZKWEZL5B,B00DDULUIA,4.0,1376006400
A1W6B6PM5F676K,B001078FV8,1.0,1360540800
ADVD639TQM5S3,B002WE6D44,5.0,1353974400
A3IW8XOR5IAU5S,B00555QY7I,4.0,1354233600
A1644SQ9ZZX25B,B00AKWW5I8,5.0,1384732800
A3KHQAGX8RWW5K,B0002KVQBA,5.0,1356652800
A7EG7ETZRJENB,B005PSLFGA,4.0,1394928000
A1NIRFJTZWSOM8,B006B7VK5U,5.0,1387756800
A2DBKU7T8DLQTC,B002XO6UNM,1.0,1317427200
